,sepal_length,sepal_width,petal_length,petal_width,species
51,4.9 cm,3100.0 mm,1.5,0.1,setosa
52,5.8 cm,4000.0 mm,1.2,0.2,setosa
53,6.1 cm,3000.0 mm,4.6,1.4,versicolor
54,5.4 cm,3400.0 mm,1.7,0.2,setosa
55,5.7 cm,2600.0 mm,3.5,1.0,versicolor
56,5.1 cm,3800.0 mm,1.9,0.4,setosa
57,5.0 cm,3400.0 mm,1.6,0.4,setosa
58,6.4 cm,3100.0 mm,5.5,1.8,virginica
59,7.2 cm,3200.0 mm,6.0,1.8,virginica
60,5.7 cm,2800.0 mm,4.1,1.3,versicolor
61,7.0 cm,3200.0 mm,4.7,1.4,versicolor
62,5.5 cm,2300.0 mm,4.0,1.3,versicolor
63,4.8 cm,3100.0 mm,1.6,0.2,setosa
64,5.7 cm,2500.0 mm,5.0,2.0,virginica
65,5.0 cm,2300.0 mm,3.3,1.0,versicolor
66,5.9 cm,3200.0 mm,4.8,1.8,versicolor
67,5.6 cm,3000.0 mm,4.1,1.3,versicolor
68,6.3 cm,3400.0 mm,5.6,2.4,virginica
69,6.0 cm,3400.0 mm,4.5,1.6,versicolor
70,7.3 cm,2900.0 mm,6.3,1.8,virginica
71,5.8 cm,2700.0 mm,5.1,1.9,virginica
72,5.4 cm,3900.0 mm,1.3,0.4,setosa
73,5.0 cm,3400.0 mm,1.5,0.2,setosa
74,6.3 cm,2800.0 mm,5.1,1.5,virginica
75,6.9 cm,3100.0 mm,5.1,2.3,virginica
76,5.8 cm,2700.0 mm,5.1,1.9,virginica
77,6.4 cm,3200.0 mm,4.5,1.5,versicolor
78,6.5 cm,3200.0 mm,5.1,2.0,virginica
79,5.7 cm,2900.0 mm,4.2,1.3,versicolor
80,5.1 cm,3700.0 mm,1.5,0.4,setosa
81,6.8 cm,2800.0 mm,4.8,1.4,versicolor
82,4.9 cm,3100.0 mm,1.5,0.1,setosa
83,6.7 cm,3100.0 mm,4.4,1.4,versicolor
84,7.1 cm,3000.0 mm,5.9,2.1,virginica
85,5.1 cm,3300.0 mm,1.7,0.5,setosa
86,4.8 cm,3400.0 mm,1.6,0.2,setosa
87,5.7 cm,4400.0 mm,1.5,0.4,setosa
88,6.4 cm,2900.0 mm,4.3,1.3,versicolor
89,5.4 cm,3400.0 mm,1.5,0.4,setosa
90,4.9 cm,2500.0 mm,4.5,1.7,virginica
91,7.6 cm,3000.0 mm,6.6,2.1,virginica
92,6.2 cm,2900.0 mm,4.3,1.3,versicolor
93,4.4 cm,3000.0 mm,1.3,0.2,setosa
94,4.7 cm,3200.0 mm,1.6,0.2,setosa
95,6.4 cm,2800.0 mm,5.6,2.2,virginica
96,6.2 cm,3400.0 mm,5.4,2.3,virginica
97,5.6 cm,2700.0 mm,4.2,1.3,versicolor
98,5.3 cm,3700.0 mm,1.5,0.2,setosa
99,5.5 cm,2600.0 mm,4.4,1.2,versicolor
100,6.3 cm,2500.0 mm,4.9,1.5,versicolor
