,sepal_length,sepal_width,petal_length,petal_width,species
63,5.6 cm,2700.0 mm,4.2,1.3,versicolor
64,5.1 cm,3400.0 mm,1.5,0.2,setosa
65,6.3 cm,2900.0 mm,5.6,1.8,virginica
66,5.8 cm,4000.0 mm,1.2,0.2,setosa
67,7.7 cm,3800.0 mm,6.7,2.2,virginica
68,4.8 cm,3100.0 mm,1.6,0.2,setosa
69,5.0 cm,2300.0 mm,3.3,1.0,versicolor
70,6.5 cm,3000.0 mm,5.8,2.2,virginica
71,4.9 cm,3100.0 mm,1.5,0.1,setosa
72,7.9 cm,3800.0 mm,6.4,2.0,virginica
73,5.6 cm,3000.0 mm,4.5,1.5,versicolor
74,6.6 cm,3000.0 mm,4.4,1.4,versicolor
75,5.8 cm,2700.0 mm,4.1,1.0,versicolor
76,6.3 cm,2700.0 mm,4.9,1.8,virginica
77,6.3 cm,3400.0 mm,5.6,2.4,virginica
78,6.4 cm,2800.0 mm,5.6,2.1,virginica
79,5.9 cm,3000.0 mm,5.1,1.8,virginica
80,6.0 cm,2900.0 mm,4.5,1.5,versicolor
81,5.8 cm,2600.0 mm,4.0,1.2,versicolor
82,6.0 cm,2700.0 mm,5.1,1.6,versicolor
83,4.6 cm,3100.0 mm,1.5,0.2,setosa
84,6.4 cm,3200.0 mm,4.5,1.5,versicolor
85,5.8 cm,2700.0 mm,5.1,1.9,virginica
86,6.4 cm,3200.0 mm,5.3,2.3,virginica
87,5.6 cm,2900.0 mm,3.6,1.3,versicolor
88,6.4 cm,3100.0 mm,5.5,1.8,virginica
89,6.1 cm,3000.0 mm,4.9,1.8,virginica
90,5.1 cm,3700.0 mm,1.5,0.4,setosa
91,7.2 cm,3600.0 mm,6.1,2.5,virginica
92,5.5 cm,2300.0 mm,4.0,1.3,versicolor
93,5.2 cm,3400.0 mm,1.4,0.2,setosa
94,5.9 cm,3000.0 mm,4.2,1.5,versicolor
95,6.1 cm,2800.0 mm,4.0,1.3,versicolor
96,5.0 cm,3300.0 mm,1.4,0.2,setosa
97,6.1 cm,2600.0 mm,5.6,1.4,virginica
98,6.9 cm,3100.0 mm,5.4,2.1,virginica
99,5.0 cm,3000.0 mm,1.6,0.2,setosa
100,5.1 cm,3800.0 mm,1.5,0.3,setosa
101,6.7 cm,3100.0 mm,4.4,1.4,versicolor
102,5.7 cm,3800.0 mm,1.7,0.3,setosa
